Startdato;Slutdato;Land;Sted = By / Landområde;Institution;Kategori;Event / Begivenhed;Event-beskrivelse;Personer;Kilde
20-09-1947;;Finland;Helsinki;Nyfilologiska föreningen;F;Foredrag;Accent och vokalharmoni från den strukturella lingvistikens synspunkt;;K51 -116, 62: avis, Nya pressen
03-10-1947;;Sverige;Uppsala;;F;Foredrag;Om språkliga strukturtyper;;K51 -63, 51: avis om tre typer
1947-??10;;Norge;Oslo;;;;;;
11-10-1947;;Sverige;Lund;;;;;;
27-01-1948;03-02??-1948;Sverige;Stockholm, Uppsala;;;;;(brev fra Saareste, 30.01.) (K51 - 42);
03-02-1948;0?-02-1948;Sverige;Lund;;;;;;
03-02-1948;;Sverige;Lund;;R;Ankomst;;(modtages af Lombard;K51 - 40
05-02-1948;;Sverige;Lund;Lunds Universitet;F;Forelæsning;Moderne franske udtrykssystem ;;K51 - F26
06-02-1948;;Sverige;Lund;Lunds Universitet;F;Forelæsning;Om sproglige strukturtyper ;(middag (aften) med Malmberg? F51 - 41 (her omtales også Stockholm-besøg);
20-04-1948;;Danmark;København;Slavistkredsen;F;Foredrag;Strukturel analyse af det russiske udtrykssystem;;K138 - 271ff
20-05-1948;;Danmark;København;Lingvistkredsen;F;Oplæg;Compte rendu de K. Bergsland : Røros-lappisk grammatik, 1946;;
19-07-1948;24-07-1948;Frankrig;Paris;Sixième Congrès International de Linguistes ;N;Deltagelse;;;K70 - 1ff
1948-;;Frankrig;Paris;Sixième Congrès International de Linguistes ;N;CIPL-møde;;;K46 - 522
1948-;;Frankrig;Paris;Sixième Congrès International de Linguistes ;F;Oplæg/report;;;
14-09-1948;27-09-1948;Sverige + Finland;;;Rejse;Videnskabelige forhandlinger;;;K68 - 227, 225
14-09-1948;;Danmark;København;;Del af rejse;Afrejse mod Sverige;;;
15-09-1948;;Sverige;Stockholm;;Del af rejsebeskrivelse;Ankomst;;;
17-09-1948;;Sverige - Finland;Stockholm - Helsinki;;Del af rejsebeskrivelse;;;;
17-09-1948;24-09-1948;Finland;Helsinki;;N;;;;
18-09-1948;20-09-1948;Finland;Helsinki;Internordisk Sprogkongres;N;Deltagelse uden oplæg;;;K68 - 199f.
24-09-1948;25-09-1948;Finland;Åbo;;N;;;;
25-09-1948;26-09-1948;Finland - Sverige;Åbo - Stockholm;;Del af rejsebeskrivelse;Natbåd;;;
26-09-1948;27-09-1948;Sverige - Danmark;Stockholm - København;;Del af rejsebeskrivelse;Nattog;;;
23-11-1948;;Danmark;København;Selskab for Nordisk Filologi;F;Oplæg;Grundtræk af det danske udtrykssystem 1;;K137 - 147
30-11-1948;;Danmark;København;Selskab for Nordisk Filologi;F;Oplæg;Grundtræk af det danske udtrykssystem 2;;K137 - 147
16-12-1948;;Danmark;København;Lingvistkredsen;F;Oplæg;Rapport sur le VIe Congrès international de linguistes (Paris 1948);;
16-12-1948;;Danmark;København;Lingvistkredsen;F;Oplæg;Le système d’expression du français moderne (à suivre);;
03-02-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Compte rendu de E.H. Sturtevant: An Introduction to Linguistic Science, 1947;;
03-02-1949;;Danmark;København;Lingvisktkredsen;F;Oplæg;Compte rendu de J. Eisenson: The Psychology of Speech, 1946;;
03-02-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Corpus alienum et deixis;;
03-02-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Le système d’expression du français moderne (suite);;
10-02-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Le système d’expression du français moderne: Discussion (à suivre);;
24-02-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Suite de la discussion sur le système d’expression du français moderne;;
03-03-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Syllabe et accent;;
11-03-1949;;Danmark;København;Videnskabernes Selskab;F;Foredrag;Foreløbige undersøgelser til en sammenlignende sprogtypologi;;K138 - 255ff
17-05-1949;28-05-1949;Frankrig;Paris;;R (N??) ;;;Vendryes m.fl.;K50 - 44, 57, 55,63 (henvisning til Rask-oplæg i Oslo)
20-05-1949;;Frankrig;Paris;Université de Paris, Institut d'Études Scandinaves;F;Gæsteforelæsning;Commentaires sur la vie et l’oeuvre de Rasmus Rask;;K132 - 442
02-06-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Structure générale des corrélations linguistiques;;
06-10-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Problèmes syntaxiques considérés d’un point de vue structural;;
13-10-1949;;Danmark;København;Københavns Universitet;F;Forelæsning??;;;K138 - 391-93
